window_id	chrom	start0	end0	length	pattern_id	exact_locus_count_both_strands	unique_exact
bg1k_2054	NC_051826.1	46097112	46097132	20	0	1	True
bg1k_2054	NC_051826.1	46097113	46097133	20	1	1	True
bg1k_2054	NC_051826.1	46097114	46097134	20	2	1	True
bg1k_2054	NC_051826.1	46097115	46097135	20	3	1	True
bg1k_2054	NC_051826.1	46097116	46097136	20	4	1	True
bg1k_2054	NC_051826.1	46097117	46097137	20	5	1	True
bg1k_2054	NC_051826.1	46097118	46097138	20	6	1	True
bg1k_2054	NC_051826.1	46097119	46097139	20	7	1	True
bg1k_2054	NC_051826.1	46097120	46097140	20	8	1	True
bg1k_2054	NC_051826.1	46097121	46097141	20	9	1	True
bg1k_2054	NC_051826.1	46097122	46097142	20	10	1	True
bg1k_2054	NC_051826.1	46097123	46097143	20	11	1	True
bg1k_2054	NC_051826.1	46097124	46097144	20	12	1	True
bg1k_2054	NC_051826.1	46097125	46097145	20	13	1	True
bg1k_2054	NC_051826.1	46097126	46097146	20	14	1	True
bg1k_2054	NC_051826.1	46097127	46097147	20	15	1	True
bg1k_2054	NC_051826.1	46097128	46097148	20	16	1	True
bg1k_2054	NC_051826.1	46097129	46097149	20	17	1	True
bg1k_2054	NC_051826.1	46097130	46097150	20	18	1	True
bg1k_2054	NC_051826.1	46097131	46097151	20	19	1	True
bg1k_2054	NC_051826.1	46097132	46097152	20	20	1	True
bg1k_2054	NC_051826.1	46097133	46097153	20	21	1	True
bg1k_2054	NC_051826.1	46097134	46097154	20	22	1	True
bg1k_2054	NC_051826.1	46097135	46097155	20	23	1	True
bg1k_2054	NC_051826.1	46097136	46097156	20	24	1	True
bg1k_2054	NC_051826.1	46097137	46097157	20	25	1	True
bg1k_2054	NC_051826.1	46097138	46097158	20	26	1	True
bg1k_2054	NC_051826.1	46097139	46097159	20	27	1	True
bg1k_2054	NC_051826.1	46097140	46097160	20	28	1	True
bg1k_2054	NC_051826.1	46097141	46097161	20	29	1	True
bg1k_2054	NC_051826.1	46097142	46097162	20	30	1	True
bg1k_2054	NC_051826.1	46097143	46097163	20	31	1	True
bg1k_2054	NC_051826.1	46097144	46097164	20	32	1	True
bg1k_2054	NC_051826.1	46097145	46097165	20	33	1	True
bg1k_2054	NC_051826.1	46097146	46097166	20	34	1	True
bg1k_2054	NC_051826.1	46097147	46097167	20	35	1	True
bg1k_2054	NC_051826.1	46097148	46097168	20	36	1	True
bg1k_2054	NC_051826.1	46097149	46097169	20	37	1	True
