width	chrom	start	end	value
500	NC_051831.1	30272821	30273321	0.8776297452449798
500	NC_051836.1	17126455	17126955	0.8816490525007248
500	NC_051827.1	10734785	10735285	1.0179161924123763
500	NC_051843.1	11967032	11967532	0.9940360181927681
500	NC_051831.1	33182106	33182606	1.0260503005981445
500	NC_051808.1	69965356	69965856	0.8699108756780625
500	NC_051818.1	30542764	30543264	1.0702783617973328
500	NC_051841.1	11469490	11469990	0.9416091412305831
500	NC_051825.1	20981972	20982472	1.207809011697769
500	NC_051817.1	52687002	52687502	0.8505832868814468
500	NC_051810.1	7211263	7211763	1.0349209303855895
500	NC_051806.1	47798172	47798672	1.0220304361581802
500	NC_051834.1	11185078	11185578	0.6248359303474427
500	NC_051830.1	25692224	25692724	
500	NC_051814.1	4778885	4779385	0.926863517165184
500	NC_051838.1	41024971	41025471	1.134943659067154
500	NC_051831.1	35144059	35144559	0.9641138999462128
500	NC_051818.1	11881245	11881745	0.758454032689333
500	NC_051805.1	67399365	67399865	0.9862370729446411
500	NC_051827.1	8220918	8221418	21.928790024757387
500	NC_051830.1	14912769	14913269	0.9988023771047592
500	NC_051813.1	59987339	59987839	0.8661586574316025
500	NC_051815.1	35470644	35471144	0.9152634589672088
500	NC_051809.1	41466932	41467432	1.2061262831687927
500	NC_051819.1	8470895	8471395	0.8884054452180863
500	NC_051810.1	44182095	44182595	0.9735222953557968
500	NC_051817.1	42892730	42893230	0.9763346737623215
500	NC_051835.1	24887298	24887798	0.8868895560503006
500	NC_051813.1	43417692	43418192	1.0031830874681473
500	NC_051835.1	17199081	17199581	0.8250999610424041
500	NC_051815.1	60792581	60793081	1.0369964582920075
500	NC_051812.1	18029124	18029624	0.8929216977357864
500	NC_051808.1	60746990	60747490	1.097540574669838
500	NC_051809.1	72097152	72097652	1.1107946333885192
500	NC_051832.1	308197	308697	0.9460465668439865
500	NC_051826.1	29287375	29287875	0.9323674380779267
500	NC_051832.1	29519430	29519930	1.154339110851288
500	NC_051818.1	30863502	30864002	0.9905768641233444
500	NC_051808.1	50622042	50622542	1.0771381684541703
500	NC_051807.1	40826797	40827297	0.9299987096190453
500	NC_051818.1	40801031	40801531	0.9284805903936687
500	NC_051822.1	4504978	4505478	0.9340743908882141
500	NC_051825.1	39887206	39887706	0.9252139327526092
500	NC_051821.1	5929478	5929978	1.5025683102607728
500	NC_051813.1	34671847	34672347	0.969211348772049
500	NC_051805.1	42851321	42851821	1.0391391010284423
500	NC_051810.1	34180855	34181355	0.9200690203905105
500	NC_051816.1	72957741	72958241	1.2405399022102357
500	NC_051810.1	66793876	66794376	0.7500500879287719
500	NC_051806.1	73747970	73748470	1.2929944336414336
