chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	no_rrbs_coverage	atac_mean	atac_variability	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_moderate_atac	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.09034584134666897	0.048835030624300425	10.33834705603718	0.5137347636648217	178020	12071148	660814	12788						
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	False	False	False	False	False	False	False	False	False	False	False	31.25	False	4.15556	False	False	0.08966544669641655	0.04800594276743821	4.14576126789335	0.4269547934638199	447642	10371810	812616	120385	0.476	0.8764	0.9	0.6076	0.9643	0.7649
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	False	False	False	False	False	False	False	False	False	False	False	37.17	False	4.39912	False	False	0.08496632043815981	0.045628766878766665	8.893172120273194	0.6203617824074517	232014	4756182	704919	65011	0.522	0.7004	0.8864	0.6053	0.85	0.7128
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	True	False	False	False	False	False	False	True	False	False	False		False		False	False	0.09079588518482425	0.04862113336552411	6.984528047361349	0.4619753946232288	344123	1980045	846396	14232						
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	True	False	False	True	False		False		True	False	0.11784552712433748	0.06964768736369975	14.728572679036953	1.1839522621766223	37345	1161823	28174	92123						
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	True	True	False	False	False		False		False	False	0.09969079688079432	0.05591306837413669	13.967244010779254	0.9878985017404335	157879	6092931	200280	7937						
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	True	False	False	False	False	False	True	True	False	True	False		False		False	False	0.08891912453759454	0.04746263313742402	6.716701819387801	0.5748126687147135	50657	8676467	160573	22847						
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.09294161571087273	0.050574448299103916	9.173142309905593	0.9442532692647062	40480	12160330	596972	10367						
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	True	False	False	False	False	False	False	True	False	False	False		False		True	False	0.09109858562149299	0.04865462161270481	8.798948199427258	0.6779366702127256	248804	13374614	418211	4644						
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	True	False	False	False	False	False	False	False	False	False	False	27.97	True	6.91712	True	False	0.09251152438801581	0.050395763663640264	5.868042018262537	0.27984302287361734	26590	12405452	1792817	282559						
NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	RSPH3	True	False	False	False	False	False	True	True	False	True	False		False		True	False	0.10985373860253321	0.0624731524690537	13.218801351912632	1.0124994498664828	42728	733093	84534	12483						
NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	PRR18	True	True	True	False	False	False	True	True	False	True	False		False		True	False	0.11482448271697739	0.06697832316964923	26.452877395261982	3.2075670314578724	25848	5260460	116958	3885						
NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	LOC111090695	True	True	False	False	False	False	True	True	False	True	False		False		True	False	0.10283467659268195	0.056821907894850573	25.303356306149496	3.087079186157836	23247	6107859	256635	12490						
NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	LOC111090696	True	False	False	False	False	False	True	True	False	True	False		False		True	False	0.10728713054408351	0.060294266174459404	32.9351951213543	4.335472496789846	37493	6622105	72862	1595						
NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	LOC111089986	False	False	False	False	False	False	False	False	False	False	False	38.17	False	5.4602200000000005	False	False	0.08613235763396203	0.04546528203831966	5.340901835565487	0.4406021417051017	343541	11216071	698716	70594	0.5253	0.7436	0.8958	0.6076	0.9313	0.7407
