chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	no_rrbs_coverage	atac_mean	atac_variability	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	score_stability_atac	score_moderate_atac	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	False	False	False	False	False	False	False	0.09034584134666897	0.048835030624300425	10.33834705603718	0.5137347636648217	178020	12071148	0.37	0.6296	0.8458	0.9339	0.1807	0.592
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	False	False	False	False	False	False	False	0.08966544669641655	0.04800594276743821	4.14576126789335	0.4269547934638199	447642	10371810	0.3818	0.6418	0.9542	0.9465	0.5025	0.6854
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	False	False	False	False	False	False	False	0.08496632043815981	0.045628766878766665	8.893172120273194	0.6203617824074517	232014	4756182	0.4154	0.7265	0.8711	0.9183	0.2452	0.6353
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	False	False	False	False	False	False	False	0.09079588518482425	0.04862113336552411	6.984528047361349	0.4619753946232288	344123	1980045	0.373	0.6214	0.9045	0.9414	0.379	0.6439
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	False	0.11784552712433748	0.06964768736369975	14.728572679036953	1.1839522621766223	37345	1161823						
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	False	0.09969079688079432	0.05591306837413669	13.967244010779254	0.9878985017404335	157879	6092931						
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	False	False	False	False	False	False	False	0.08891912453759454	0.04746263313742402	6.716701819387801	0.5748126687147135	50657	8676467	0.3895	0.6553	0.9092	0.925	0.0287	0.5815
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	False	False	False	False	False	False	False	0.09294161571087273	0.050574448299103916	9.173142309905593	0.9442532692647062	40480	12160330	0.3454	0.5828	0.8662	0.8711	0.0166	0.5364
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	False	False	False	False	False	False	False	0.09109858562149299	0.04865462161270481	8.798948199427258	0.6779366702127256	248804	13374614	0.3726	0.616	0.8728	0.9099	0.2652	0.6073
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	False	False	False	False	False	False	False	0.09251152438801581	0.050395763663640264	5.868042018262537	0.27984302287361734	26590	12405452	0.3479	0.5905	0.9241	0.9679	0.0	0.5661
