gene_symbol	categories
TBX5	tumor_suppressor
TC2N	oncogene
TCEAL7	tumor_suppressor
TCF12	oncogene
TCF21	tumor_suppressor
TCF3	oncogene,tumor_suppressor
TCF4	oncogene,tumor_suppressor
TCF7	oncogene
TCF7L2	oncogene
TCHP	tumor_suppressor
TCIM	oncogene
TCL1A	oncogene
TCP1	essential
TEAD4	oncogene
TELO2	essential
TENT5C	tumor_suppressor
TERT	oncogene
TES	tumor_suppressor
TET1	oncogene,tumor_suppressor
TET2	oncogene,tumor_suppressor
TFAM	essential
TFAP2A	oncogene,tumor_suppressor
TFAP2C	oncogene
TFCP2	oncogene
TFDP1	tumor_suppressor
TFE3	oncogene
TFEB	oncogene,tumor_suppressor
TFF1	oncogene,tumor_suppressor
TFF3	oncogene
TFG	oncogene
TFPI2	tumor_suppressor
TFRC	essential,oncogene
TGFB1	oncogene
TGFBI	oncogene,tumor_suppressor
TGFBR2	tumor_suppressor
TGFBR3	tumor_suppressor
TGIF1	tumor_suppressor
TGIF2	oncogene
TGM2	oncogene
THBS1	oncogene,tumor_suppressor
THEM4	oncogene
THOC2	essential
THOC3	essential
THOC5	essential
THRA	oncogene
THY1	tumor_suppressor
TICRR	essential
TIGAR	oncogene
TIMELESS	oncogene
TIMM10	essential
TIMM13	essential
TIMM23	essential
TIMM44	essential
TIMM8A	oncogene
TIMP1	oncogene
TIMP3	tumor_suppressor
TINCR	oncogene,tumor_suppressor
TLE1	oncogene,tumor_suppressor
TLE4	tumor_suppressor
TLR4	oncogene
TLX1	oncogene
TLX3	oncogene
TM4SF1	oncogene
TM9SF2	oncogene
TMC6	oncogene,tumor_suppressor
TMED2	oncogene
TMED3	tumor_suppressor
TMEFF2	tumor_suppressor
TMEM100	tumor_suppressor
TMEM106A	tumor_suppressor
TMEM127	tumor_suppressor
TMEM158	oncogene
TMEM176A	tumor_suppressor
TMEM258	essential
TMIGD1	tumor_suppressor
TMPO	oncogene
TMPRSS2	oncogene,tumor_suppressor
TNC	oncogene
TNF	oncogene
TNFAIP3	oncogene,tumor_suppressor
TNFAIP8L2	tumor_suppressor
TNFRSF10B	oncogene
TNFRSF14	tumor_suppressor
TNK2	oncogene
TNPO3	essential
TNS1	oncogene,tumor_suppressor
TNS4	oncogene
TOB1	tumor_suppressor
TOMM22	essential
TOMM40	essential
TONSL	essential
TOP1	essential
TOP2A	essential,oncogene
TOX	oncogene
TP53	oncogene,tumor_suppressor
TP53BP1	tumor_suppressor
TP53I3	oncogene
TP53INP1	tumor_suppressor
TP63	oncogene,tumor_suppressor
TP73	oncogene,tumor_suppressor
TPD52	oncogene,tumor_suppressor
TPM1	tumor_suppressor
TPM3	oncogene
TPM4	oncogene
TPT1	essential,oncogene
TPX2	essential,oncogene
TRAF2	oncogene
TRAF3	tumor_suppressor
TRAF4	oncogene
TRAF6	oncogene
TRAPPC1	essential
TRAPPC3	essential
TREM2	oncogene,tumor_suppressor
TRIAP1	essential
TRIB1	oncogene
TRIB2	oncogene
TRIB3	oncogene
TRIM11	oncogene
TRIM13	tumor_suppressor
TRIM14	oncogene
TRIM15	tumor_suppressor
TRIM16	tumor_suppressor
TRIM21	oncogene,tumor_suppressor
TRIM22	oncogene
TRIM24	oncogene
TRIM25	oncogene
TRIM26	oncogene,tumor_suppressor
TRIM27	oncogene
TRIM28	oncogene
TRIM29	oncogene,tumor_suppressor
TRIM3	tumor_suppressor
TRIM31	oncogene,tumor_suppressor
TRIM32	oncogene
TRIM33	tumor_suppressor
TRIM35	tumor_suppressor
TRIM37	oncogene
TRIM44	oncogene
TRIM47	oncogene
TRIM50	tumor_suppressor
TRIM59	oncogene
TRIM62	tumor_suppressor
TRIM65	oncogene
TRIM66	oncogene
TRIM72	tumor_suppressor
TRIM8	oncogene,tumor_suppressor
TRIP13	oncogene
TRMT112	essential
TRMT5	essential
TRNAU1AP	essential
TRPM1	tumor_suppressor
TRPM7	oncogene
TRPS1	oncogene
TRPV2	oncogene
TRPV4	oncogene
TRRAP	essential
TSC1	tumor_suppressor
TSC2	tumor_suppressor
TSG101	tumor_suppressor
TSHR	oncogene
TSPAN1	oncogene
TSPO	oncogene
TSPY1	oncogene
TSPYL2	tumor_suppressor
TSR1	essential
TTC1	essential
TTC27	essential
TTF1	oncogene
TTI1	essential
TTI2	essential
TTK	oncogene
TUBB	essential
TUBG1	essential
TUBGCP2	essential
TUBGCP3	essential
TUBGCP6	essential
TUFM	essential
TUG1	oncogene,tumor_suppressor
TUSC2	tumor_suppressor
TUSC3	oncogene,tumor_suppressor
TUT1	essential
TWIST1	oncogene
TWNK	essential
TXN	essential
TXNIP	oncogene,tumor_suppressor
TXNL4A	essential
TYK2	oncogene
TYRO3	oncogene
TYROBP	oncogene
U2AF1	essential
U2AF2	essential
UBA1	essential
UBA52	essential
UBA7	tumor_suppressor
UBAP2L	oncogene
UBD	oncogene
UBE2C	oncogene
UBE2L3	essential
UBE2M	essential,oncogene
UBE2N	essential
UBE2S	oncogene
UBE2T	oncogene
UBL5	essential
UBR5	oncogene
UBR7	tumor_suppressor
UBTF	essential
UCHL1	oncogene,tumor_suppressor
UCK2	oncogene
UFC1	oncogene
UHRF1	oncogene,tumor_suppressor
ULK1	oncogene
UNC5C	tumor_suppressor
UNC5D	tumor_suppressor
UPF1	essential,tumor_suppressor
UPF2	essential
UPK1A	tumor_suppressor
UPP1	oncogene
UQCRC1	essential
UQCRFS1	essential
UQCRH	tumor_suppressor
URGCP	oncogene
URI1	oncogene
UROD	essential
USP1	oncogene
USP10	oncogene,tumor_suppressor
USP11	oncogene,tumor_suppressor
USP13	oncogene,tumor_suppressor
USP14	oncogene
USP15	oncogene
USP18	oncogene
USP21	oncogene
USP22	oncogene
USP28	oncogene
USP32	oncogene
USP36	oncogene
USP39	essential,oncogene
USP4	oncogene,tumor_suppressor
USP5	essential,oncogene
USP6	oncogene
USP7	oncogene,tumor_suppressor
USP8	oncogene
USP9X	oncogene,tumor_suppressor
USPL1	essential
UTP15	essential
UTP20	essential
UTP23	essential
UTP25	essential
UTP4	essential
UXT	essential
VARS	essential
VARS2	essential
VASP	oncogene
VAV1	oncogene,tumor_suppressor
VAV3	oncogene
VCP	essential
VDR	oncogene,tumor_suppressor
VEGFA	oncogene,tumor_suppressor
VEGFC	oncogene
VEGFD	oncogene
VGLL4	tumor_suppressor
VHL	oncogene,tumor_suppressor
VIM	oncogene
VIRMA	oncogene
VPS25	essential
VPS28	essential
VPS33B	tumor_suppressor
VPS35	oncogene
VWA5A	tumor_suppressor
WARS	essential
WASL	oncogene
WBP2	oncogene
WDR12	essential
WDR25	essential
WDR3	essential
WDR33	essential
WDR43	essential
WDR5	oncogene
WDR54	oncogene
WDR61	essential
WDR70	essential
WDR74	essential
WDR75	essential
WDR77	essential
WDR92	essential
WEE1	essential
WIF1	oncogene,tumor_suppressor
WIPF1	oncogene
WNK2	tumor_suppressor
WNT1	oncogene
WNT10A	oncogene
WNT10B	oncogene
WNT3A	oncogene
WNT5A	oncogene,tumor_suppressor
WNT7A	oncogene,tumor_suppressor
WT1	oncogene,tumor_suppressor
WTAP	oncogene
WWC1	tumor_suppressor
WWOX	oncogene,tumor_suppressor
WWP1	oncogene
WWTR1	oncogene
XAB2	essential
XAF1	tumor_suppressor
XBP1	oncogene
XPO1	essential,oncogene
XPO4	tumor_suppressor
XRCC6	essential
YAP1	oncogene,tumor_suppressor
YARS	essential
YARS2	essential
YBX1	oncogene
YBX3	oncogene
YEATS4	oncogene
YES1	oncogene
YJU2	essential
YRDC	essential
YTHDC1	oncogene
YTHDC2	tumor_suppressor
YTHDF1	oncogene,tumor_suppressor
YTHDF2	oncogene,tumor_suppressor
YTHDF3	oncogene
YWHAH	oncogene
YWHAZ	oncogene
YY1	oncogene,tumor_suppressor
YY1AP1	oncogene
ZBTB16	oncogene,tumor_suppressor
ZBTB7A	oncogene,tumor_suppressor
ZBTB8OS	essential
ZC3H12D	tumor_suppressor
ZC3H13	oncogene,tumor_suppressor
ZEB1	oncogene,tumor_suppressor
ZEB2	oncogene,tumor_suppressor
ZFHX3	tumor_suppressor
ZFP36	oncogene,tumor_suppressor
ZFP82	tumor_suppressor
ZFX	oncogene
ZHX2	oncogene,tumor_suppressor
ZHX3	tumor_suppressor
ZIC1	oncogene,tumor_suppressor
ZIC2	oncogene
ZMAT5	essential
ZMIZ1	oncogene
ZMYND10	tumor_suppressor
ZMYND8	tumor_suppressor
ZNF131	essential
ZNF217	oncogene
ZNF24	tumor_suppressor
ZNF281	oncogene
ZNF331	tumor_suppressor
ZNF382	tumor_suppressor
ZNF395	oncogene
ZNF471	tumor_suppressor
ZNF574	essential
ZNF671	tumor_suppressor
ZNF677	tumor_suppressor
ZNF703	oncogene
ZNF750	tumor_suppressor
ZPR1	essential
ZWINT	oncogene
ZYG11A	oncogene
